"","sovereignt","type","admin","geounit","subunit","name","name_long","brk_name","formal_en","name_sort"
"115","Cambodia","Sovereign country","Cambodia","Cambodia","Cambodia","Cambodia","Cambodia","Cambodia","Kingdom of Cambodia","Cambodia"
"116","Kiribati","Sovereign country","Kiribati","Kiribati","Kiribati","Kiribati","Kiribati","Kiribati","Republic of Kiribati","Kiribati"
"117","Saint Kitts and Nevis","Sovereign country","Saint Kitts and Nevis","Saint Kitts and Nevis","Saint Kitts and Nevis","St. Kitts and Nevis","Saint Kitts and Nevis","Saint Kitts and Nevis","Federation of Saint Kitts and Nevis","St. Kitts and Nevis"
"118","South Korea","Sovereign country","South Korea","South Korea","South Korea","Korea","Republic of Korea","Republic of Korea","Republic of Korea","Korea, Rep."
"119","Kosovo","Sovereign country","Kosovo","Kosovo","Kosovo","Kosovo","Kosovo","Kosovo","Republic of Kosovo","Kosovo"
"120","Kuwait","Sovereign country","Kuwait","Kuwait","Kuwait","Kuwait","Kuwait","Kuwait","State of Kuwait","Kuwait"
"121","Laos","Sovereign country","Laos","Laos","Laos","Lao PDR","Lao PDR","Laos","Lao People's Democratic Republic","Lao PDR"
"122","Lebanon","Sovereign country","Lebanon","Lebanon","Lebanon","Lebanon","Lebanon","Lebanon","Lebanese Republic","Lebanon"
"123","Liberia","Sovereign country","Liberia","Liberia","Liberia","Liberia","Liberia","Liberia","Republic of Liberia","Liberia"
"124","Libya","Sovereign country","Libya","Libya","Libya","Libya","Libya","Libya","Libya","Libya"
"125","Saint Lucia","Sovereign country","Saint Lucia","Saint Lucia","Saint Lucia","Saint Lucia","Saint Lucia","Saint Lucia","Saint Lucia","St. Lucia"
"126","Liechtenstein","Sovereign country","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Principality of Liechtenstein","Liechtenstein"
"127","Sri Lanka","Sovereign country","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","Democratic Socialist Republic of Sri Lanka","Sri Lanka"
"128","Lesotho","Sovereign country","Lesotho","Lesotho","Lesotho","Lesotho","Lesotho","Lesotho","Kingdom of Lesotho","Lesotho"
"129","Lithuania","Sovereign country","Lithuania","Lithuania","Lithuania","Lithuania","Lithuania","Lithuania","Republic of Lithuania","Lithuania"
"130","Luxembourg","Sovereign country","Luxembourg","Luxembourg","Luxembourg","Luxembourg","Luxembourg","Luxembourg","Grand Duchy of Luxembourg","Luxembourg"
"131","Latvia","Sovereign country","Latvia","Latvia","Latvia","Latvia","Latvia","Latvia","Republic of Latvia","Latvia"
"132","China","Country","Macao S.A.R","Macao S.A.R","Macao S.A.R","Macao","Macao","Macao","Macao Special Administrative Region, PRC","Macao SAR, China"
"133","France","Dependency","Saint Martin","Saint Martin","Saint Martin","St-Martin","Saint-Martin","Saint-Martin","Saint-Martin (French part)","St. Martin (French part)"
"134","Morocco","Sovereign country","Morocco","Morocco","Morocco","Morocco","Morocco","Morocco","Kingdom of Morocco","Morocco"
"135","Monaco","Sovereign country","Monaco","Monaco","Monaco","Monaco","Monaco","Monaco","Principality of Monaco","Monaco"
