"","Abbr","State","Population","Slope","Intercept","Peak","K","Cases","Deaths","Mortality","Tests","Dtime","Today","Week","TestingFraction","state"
"34","NC","North Carolina",10488084,0.0435459005015395,8.91978570412341,10.9105740832408,0.0216649281765666,8789,306,3.5,109920,15.9142420300965,0.0837998627776055,0.0943578447618898,1.04804652594316,"North Carolina"
"35","ND","North Dakota",762062,0.0715935494894537,6.54395614483775,11.1458879233899,0.0167715001658476,942,9,1,22434,9.67964299775477,0.123611989575651,0.151844818671154,2.94385496193223,"North Dakota"
"36","OH","Ohio",11689100,0.0262085754969446,9.59909822058704,11.5952407527215,0.0131549857859968,16325,753,4.6,119391,25,0.139660025151637,0.150424540194731,1.02138744642445,"Ohio"
"37","OK","Oklahoma",3956971,0.0244157545940224,8.00760852882004,10.0106363007399,0.0121075953241362,3280,197,6,53171,25,0.0828916865956308,0.0893277847898826,1.34372983779765,"Oklahoma"
"38","OR","Oregon",4217737,0.026348000687649,7.66417870444717,9.66214023144042,0.0131901521458373,2354,92,3.9,51198,25,0.0558119199940632,0.0602503649497209,1.21387369577572,"Oregon"
"39","PA","Pennsylvania",12801989,0.031600999320328,10.5318760504533,12.5221898407318,0.0153824128677295,42050,1597,3.8,203422,21.9296862410997,0.328464584682896,0.358836289301963,1.58898746124528,"Pennsylvania"
"40","RI","Rhode Island",1059361,0.0491322698371728,8.7359879990834,10.7323273043615,0.0252667334607546,7492,233,3.1,55885,14.1047829114478,0.707218785664188,0.811887164388763,5.27534995152738,"Rhode Island"
"41","SC","South Carolina",5148714,0.0299127879644056,8.49340703485572,10.4986274931043,0.0163507295932296,5613,177,3.2,50761,23.1673490556824,0.109017513887934,0.117793795348605,0.985896672450635,"South Carolina"
"42","SD","South Dakota",884659,0.0357045491230959,7.5725947949626,7.77024349472206,0.3356527936181,2245,11,0.5,16375,19.4092914494115,0.253770096726535,0.262789600609513,1.8509956943862,"South Dakota"
"43","TN","Tennessee",6829174,0.0467824787781329,9.03002702728653,11.0228809207225,0.0235541011005369,9918,184,1.9,154402,14.813238163086,0.145229862352314,0.16553106243559,2.26091764538435,"Tennessee"
